symbol,direction,entry_time,entry_price,exit_time,exit_price,contracts,pnl,exit_reason
MNQ,-1,2025-12-29 01:40:00+00:00,25842.75,2025-12-29 02:35:00+00:00,25844.60539573918,2,-8.661582956725615,trail
MNQ,-1,2025-12-29 05:10:00+00:00,25830.75,2025-12-29 05:45:00+00:00,25834.218634526955,3,-22.67180716172821,trail
MNQ,-1,2025-12-29 06:00:00+00:00,25813.75,2025-12-29 06:10:00+00:00,25829.217258284156,2,-63.10903313662333,trail
MNQ,-1,2025-12-29 07:00:00+00:00,25803.25,2025-12-29 07:25:00+00:00,25806.01227502474,3,-18.433650148435262,trail
MNQ,-1,2025-12-29 08:35:00+00:00,25757.25,2025-12-29 09:00:00+00:00,25756.1780222085,1,1.5239555830002063,trail
MNQ,1,2025-12-29 11:40:00+00:00,25770.25,2025-12-29 12:35:00+00:00,25755.678044350807,3,-89.29173389515869,trail
MNQ,-1,2025-12-29 13:45:00+00:00,25678.0,2025-12-29 13:55:00+00:00,25694.069371096684,1,-32.75874219336867,trail
MNQ,1,2025-12-29 19:45:00+00:00,25751.75,2025-12-29 20:35:00+00:00,25749.22501100444,1,-5.669977991118794,trail
MNQ,-1,2025-12-29 23:45:00+00:00,25710.5,2025-12-30 00:20:00+00:00,25719.778892924525,5,-95.8889292452528,trail
MNQ,1,2025-12-30 03:30:00+00:00,25738.75,2025-12-30 04:00:00+00:00,25726.747633740608,3,-73.87419755635288,trail
MNQ,1,2025-12-30 04:05:00+00:00,25744.0,2025-12-30 05:10:00+00:00,25741.62800432081,2,-10.727982716760598,trail
MNQ,-1,2025-12-30 06:25:00+00:00,25716.0,2025-12-30 06:45:00+00:00,25730.212864788045,3,-87.13718872827245,trail
MNQ,-1,2025-12-30 07:00:00+00:00,25713.75,2025-12-30 07:20:00+00:00,25700.579597176387,3,77.16241694167606,trail
MNQ,-1,2025-12-30 07:20:00+00:00,25692.75,2025-12-30 07:50:00+00:00,25699.811505565198,2,-29.486022260791504,trail
MNQ,1,2025-12-30 08:55:00+00:00,25739.25,2025-12-30 09:40:00+00:00,25737.449111030666,7,-29.55244557067257,trail
MNQ,-1,2025-12-30 10:50:00+00:00,25727.25,2025-12-30 11:45:00+00:00,25718.614535732206,4,66.60371414235443,trail
MNQ,1,2025-12-30 12:15:00+00:00,25739.25,2025-12-30 12:25:00+00:00,25726.543770589993,7,-182.22721174009698,trail
MNQ,-1,2025-12-30 13:35:00+00:00,25698.75,2025-12-30 14:10:00+00:00,25715.36543884651,2,-67.70175538604438,trail
MNQ,1,2025-12-30 14:55:00+00:00,25757.0,2025-12-30 15:05:00+00:00,25729.650619070693,1,-55.31876185861358,trail
MNQ,-1,2025-12-30 20:10:00+00:00,25692.75,2025-12-30 20:20:00+00:00,25707.198193150518,2,-59.03277260207164,trail
MNQ,-1,2025-12-30 20:55:00+00:00,25677.75,2025-12-30 21:45:00+00:00,25688.950459843087,1,-23.02091968617344,trail
MNQ,-1,2025-12-30 23:35:00+00:00,25648.0,2025-12-31 01:00:00+00:00,25612.115995032076,2,142.2960198716953,trail
MNQ,-1,2025-12-31 01:00:00+00:00,25597.25,2025-12-31 01:05:00+00:00,25612.964852529785,1,-32.04970505957055,trail
MNQ,-1,2025-12-31 05:50:00+00:00,25601.75,2025-12-31 06:15:00+00:00,25600.46415762884,3,5.855054226951907,trail
MNQ,-1,2025-12-31 08:30:00+00:00,25561.0,2025-12-31 09:00:00+00:00,25573.476896852248,2,-51.14758740899037,trail
MNQ,1,2025-12-31 11:00:00+00:00,25593.75,2025-12-31 12:00:00+00:00,25597.54301214579,3,20.89807287474163,trail
MNQ,1,2025-12-31 12:15:00+00:00,25620.0,2025-12-31 13:50:00+00:00,25690.23703593407,2,279.7081437362847,trail
MNQ,1,2025-12-31 13:50:00+00:00,25702.25,2025-12-31 14:15:00+00:00,25693.791872960428,1,-17.536254079143983,trail
MNQ,-1,2025-12-31 14:45:00+00:00,25604.0,2025-12-31 14:50:00+00:00,25626.585457104535,1,-45.79091420906945,trail
MNQ,-1,2025-12-31 15:20:00+00:00,25586.25,2025-12-31 16:20:00+00:00,25582.680606654634,2,13.037573381463298,trail
MNQ,1,2025-12-31 18:40:00+00:00,25618.5,2025-12-31 19:15:00+00:00,25605.164299992874,2,-54.58280002850574,trail
MNQ,-1,2025-12-31 19:30:00+00:00,25536.75,2025-12-31 20:35:00+00:00,25511.65051615113,1,49.57896769773914,trail
