symbol,split,hypothesis,horizon_bars,threshold,side,insufficient,ks_stat,ks_p_value,mean_diff_obs_bps,mean_diff_perm_p,mean_diff_boot_ci_lo_bps,mean_diff_boot_ci_hi_bps,mean_up_excursion_bps,mean_down_excursion_bps,event_n,event_insufficient,event_mean_bps,event_median_bps,event_std_bps,event_skew,event_kurtosis,event_prob_positive,event_mean_abs_bps,event_prob_large_positive,event_prob_large_negative,event_upside_tail_mean_bps,event_downside_tail_mean_bps,baseline_n,baseline_insufficient,baseline_mean_bps,baseline_median_bps,baseline_std_bps,baseline_skew,baseline_kurtosis,baseline_prob_positive,baseline_mean_abs_bps,baseline_prob_large_positive,baseline_prob_large_negative,baseline_upside_tail_mean_bps,baseline_downside_tail_mean_bps,vol_side
MES,discovery,A_relative_volume,5,0.7,high,False,0.00645721208364286,0.9074895771507114,0.12417739813593343,0.43456543456543456,-0.18099802713546675,0.4393580774958384,7.181416848895113,-7.324307532749282,10965,False,0.26777102925301277,0.4099872903950974,13.248638094067095,1.6936286555850273,95.22214419727186,0.507797537619699,7.040630375674702,0.09822161422708618,0.09813041495668035,21.632222156891782,-21.195698354445092,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,0.503383169239496,7.191591355838038,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,
MES,discovery,A_relative_volume,10,0.7,high,False,0.011160834078283388,0.6077846302648742,0.2478104848241057,0.4085914085914086,-0.2880381432929208,0.8016148762411788,10.433893747113332,-10.65225006304269,7399,False,0.5341619726332327,0.4408199250605094,20.038785666322813,4.943329767500752,129.79757885203992,0.5143938370050006,10.338018655832489,0.097851060954183,0.09947290174347885,32.816315660278526,-30.977323996780616,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,0.5180713128038897,10.340944208905597,0.1,0.1,30.651695287479473,-31.98832708875478,
MES,discovery,A_relative_volume,20,0.7,high,False,0.00902976649679813,0.9814228350476817,0.22155001431492477,0.6713286713286714,-0.8094639127372607,1.2176303521135219,15.089157660838588,-15.53999463186992,4561,False,0.7958621627658081,0.9912276354273608,27.545153626289824,1.5144744855006604,48.7849320571973,0.5310238982679237,15.120729974645846,0.09318131988598992,0.09712782284586713,47.53922974620569,-46.09943436838543,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,0.5280388978930308,15.013185921428663,0.1,0.1,44.596711899446824,-46.273310233193456,
MES,discovery,A_relative_volume,40,0.7,high,False,0.016438368100939335,0.8317204403202618,0.04581383541978466,0.958041958041958,-2.021726678125177,2.0739150393203247,21.22090890256504,-22.724304272369046,2604,False,1.1961098255527027,1.9153589593923215,38.67937656199864,3.28579590018505,89.1090244484967,0.5476190476190477,21.266722085103794,0.09639016897081414,0.09715821812596007,64.108796074593,-65.1664855957246,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,0.5423014586709887,21.59474417881309,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,
MES,discovery,A_relative_volume,60,0.7,high,False,0.01878031848334733,0.8769777800326115,0.2881229294773315,0.8591408591408591,-2.6590978538444237,3.79512746362528,27.514713524010045,-28.563392897721975,1816,False,2.011160807464937,2.010818554989413,50.072478439162715,3.687901912312526,83.6937989273607,0.5390969162995595,27.84255403484898,0.10627753303964757,0.10517621145374449,80.24829087390479,-78.57488715160558,2056,False,1.7230378779876057,2.3391062773903126,49.82931915138768,1.9840628834612242,67.44658853512931,0.5437743190661478,27.726860706439002,0.10019455252918288,0.10019455252918288,80.6802259828525,-83.60737879666635,
MES,discovery,A_relative_volume,100,0.7,high,False,0.021749838987069423,0.9332832828524842,0.9316686102802242,0.7542457542457542,-4.344092941959468,6.052508930988404,36.54358209404783,-37.62630442262804,1145,False,3.8256713001326643,4.46030330062408,63.95190258079629,3.8147818139288012,80.53336711283922,0.5502183406113537,36.511042436346166,0.11091703056768559,0.09868995633187773,101.00716197279553,-103.16220797758362,1234,False,2.89400268985244,2.942212256938914,65.28150791756185,2.953261497624338,74.42253240395118,0.5413290113452188,36.854017595161295,0.10048622366288493,0.10048622366288493,105.807745077793,-105.64122805315773,
MES,discovery,A_relative_volume,5,0.7,low,False,0.024713993497980646,0.00028661198866975147,-0.045186742161372875,0.7342657342657343,-0.31188274257057974,0.21559098808666247,6.247494758516403,-6.590385602762729,10228,False,0.09840688895570646,0.0,11.024666953432641,-0.8371243534647513,49.321418071927056,0.4972624168947986,6.156142776542125,0.08339851388345718,0.08584278451310129,19.769702006155807,-20.47096937719907,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,0.503383169239496,7.191591355838038,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,
MES,discovery,A_relative_volume,10,0.7,low,False,0.03491268099758349,3.734418096149501e-05,-0.11676128873406719,0.6713286713286714,-0.6050883652718343,0.3844074994032299,9.020638614920788,-9.645550641697552,6974,False,0.16959019907505982,0.417676051184257,15.965534449907343,0.8452082987232051,41.124001258126206,0.5111843991970175,8.960768113222843,0.080585030111844,0.0837396042443361,29.689532551772512,-30.081011002217746,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,0.5180713128038897,10.340944208905597,0.1,0.1,30.651695287479473,-31.98832708875478,
MES,discovery,A_relative_volume,20,0.7,low,False,0.021547832294360757,0.18117109160594697,-0.073520364187347,0.8851148851148851,-1.1110492688528222,0.8756093613791132,13.709181832602628,-14.602705010496711,4391,False,0.5007917842635363,0.8509189925121063,25.164337963153443,-0.8271135204990613,45.096936569228404,0.521976770667274,13.794941759266289,0.08471874288317012,0.08972899111819631,44.52437085257373,-45.06590302593237,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,0.5280388978930308,15.013185921428663,0.1,0.1,44.596711899446824,-46.273310233193456,
MES,discovery,A_relative_volume,40,0.7,low,False,0.018685460049699485,0.7036412378016635,0.254037135034657,0.8151848151848152,-1.6582111760847837,2.1999337995743935,20.745255753184413,-21.832461841859285,2558,False,1.404333125167575,1.8256656376425262,37.43483093959845,1.6075393935867044,60.73233558910715,0.5351837372947615,20.67529751267015,0.09147771696637999,0.08913213448006255,64.34318012933954,-64.18094488855466,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,0.5423014586709887,21.59474417881309,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,
