n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars,method
2392,False,0.4823826424480285,1.2492768667760057,0.28694543347612245,0.5271739130434783,0.47282608695652173,18.215388144059723,-19.288899353601796,18.722972248571462,-40.40001205506227,37.8854168985161,0.30235761012707624,0.7624057644344547,MES,discovery,0.85,10,non_overlapping_events
1357,False,1.1476265371390224,2.0397340186839585,0.5749546171777185,0.5283714075165807,0.4716285924834193,26.118826427084482,-26.827920839565504,26.453255626780766,-56.65556406639239,56.2997869506181,0.486812287018149,0.626470037205354,MES,discovery,0.85,20,non_overlapping_events
820,False,1.941829009547258,4.288383811199559,1.1492413830124588,0.552439024390244,0.4475609756097561,32.856491536467516,-36.217141357468755,34.36058724903758,-78.27906051589234,71.88040069726651,0.3936871870532675,0.6939144717715197,MES,discovery,0.85,40,non_overlapping_events
1804,False,0.9306403376566431,1.1124773125159582,0.28694543347612245,0.5221729490022173,0.4778270509977827,19.84199607652615,-19.735829622917695,19.79126687308353,-42.54468232685776,42.48984654221044,0.8632943583223658,0.38809046562665495,MES,discovery,0.9,10,non_overlapping_events
1061,False,1.253910683888166,2.744613695622178,0.5749546171777185,0.53440150801131,0.4655984919886899,26.465357509954135,-27.68311431687986,27.032343242867714,-60.70499413355135,53.57598435241195,0.5075487187342085,0.6118754448711023,MES,discovery,0.9,20,non_overlapping_events
670,False,1.5895622832254992,3.7473191592551913,1.1492413830124588,0.5567164179104478,0.44328358208955226,32.47065681189909,-37.19376518881238,34.564333211814386,-80.2008654714917,76.58584719381867,0.20797944574125088,0.8353083141215363,MES,discovery,0.9,40,non_overlapping_events
1059,False,0.72562647678727,1.2304158805687138,0.28694543347612245,0.5155807365439093,0.48441926345609065,20.40425672841047,-20.21888057464795,20.314456948542507,-42.018510243396754,43.43532326894278,0.4208764135667071,0.6739308067570755,MES,discovery,0.95,10,non_overlapping_events
669,False,2.117517188488002,2.7255382938129458,0.5749546171777185,0.5411061285500748,0.4588938714499253,26.88912590194556,-27.092001880800716,26.982224445306592,-56.335610239375946,52.99030990808577,0.8893568677265201,0.3741314738306333,MES,discovery,0.95,20,non_overlapping_events
449,False,3.773649641210387,4.5827604882719974,1.1492413830124588,0.5545657015590201,0.44543429844098,36.46935709712432,-36.932506141402456,36.67565956673596,-78.07185617491163,74.73647056008214,0.9221881164103352,0.35692682086969874,MES,discovery,0.95,40,non_overlapping_events
2332,False,0.9958292024000027,2.334313151632905,0.33501323588971044,0.5368782161234992,0.4631217838765009,24.323334597326987,-26.046797422089426,25.1215077751758,-57.15261210813183,52.233308548305864,0.8007640465984821,0.4233498644399663,MNQ,discovery,0.85,10,non_overlapping_events
1318,False,2.537630578235543,4.362060145289837,0.6717902919769171,0.5591805766312595,0.4408194233687405,34.03844107532187,-37.42122886471217,35.529639638019724,-79.71384312358204,76.17822341063362,1.2292948794108218,0.21918084590411205,MNQ,discovery,0.85,20,non_overlapping_events
798,False,3.9975175229056736,5.91390211678422,1.3440923741333435,0.5526315789473685,0.4473684210526316,46.33143481618444,-48.29732148643869,47.2109104318245,-101.91340870299992,95.30904495031656,1.004553991959181,0.31541654594347873,MNQ,discovery,0.85,40,non_overlapping_events
1727,False,1.2307444993159975,2.1836147011855545,0.33501323588971044,0.5356108859293572,0.4643891140706427,25.62281421329254,-26.902253612190613,26.2169719422539,-59.70514360394673,52.29748688318022,0.9170848567051189,0.35922629764915165,MNQ,discovery,0.9,10,non_overlapping_events
1012,False,2.249764083112961,5.927758311103926,0.6717902919769171,0.5573122529644269,0.4426877470355731,34.96904527714983,-38.941473848665595,36.72759073173388,-83.2484935653276,71.36742689525865,0.8928390096315768,0.37215585830155984,MNQ,discovery,0.9,20,non_overlapping_events
634,False,1.83558886984052,4.225740554880675,1.3440923741333435,0.5425867507886435,0.45741324921135645,47.192266670378615,-51.96681514183226,49.37620840022335,-102.82643331547358,95.31395298043176,0.15733920523949368,0.8750276967733565,MNQ,discovery,0.9,40,non_overlapping_events
994,False,0.853769111064239,2.0491184137205742,0.33501323588971044,0.5321931589537223,0.4678068410462777,27.358608331835086,-29.299047980952484,28.26635927432964,-62.26139776860473,58.18911598357055,0.36335330191542065,0.7164183177948892,MNQ,discovery,0.95,10,non_overlapping_events
