n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,control,variant,threshold_pctile,horizon_bars
11700,False,1.1883667043915216,1.928714707389867,0.5749546171777185,0.525042735042735,0.474957264957265,26.366155175615905,-26.644484578446587,26.498349747541557,-55.58593892871428,56.660329380894574,1.609168332734239,0.1076065203162418,MES,discovery,rth,RTH,0.9,20
2594,False,3.685474398025818,4.190500800308472,0.5749546171777185,0.5882806476484195,0.4117193523515806,23.978607136458397,-25.310144102768298,24.5268266738597,-48.56280752554248,58.995582517155825,3.6506070624042666,0.0002667913937425556,MES,discovery,rth,overnight,0.9,20
5941,False,1.052646641178692,2.8317915801401305,0.5749546171777185,0.5446894462211749,0.4553105537788251,24.355451432144058,-26.824571955332928,25.479668064903844,-58.09419837804142,52.47691015952904,0.895801706102825,0.3703949781741489,MES,discovery,recent_return_direction,prior20_up,0.9,20
8353,False,2.0603660163554607,2.371016691957717,0.5749546171777185,0.5307075302286604,0.46929246977133965,27.01204712375949,-26.156675399236903,26.61062761458572,-52.86001390458317,59.926583564576575,3.230699565196742,0.0012396601742864547,MES,discovery,recent_return_direction,prior20_down,0.9,20
10079,False,1.7702529118289632,2.5491778901298723,0.5749546171777185,0.535668221053676,0.46433177894632405,28.38234994531555,-28.930326550520192,28.63679289723119,-59.894767823209236,62.51219539864854,2.641281370739846,0.00827205535452903,MES,discovery,recent_return_magnitude,prior20_|ret|_top_third,0.9,20
1517,False,0.9012689051545707,2.810304449649692,0.5749546171777185,0.5464733025708636,0.4535266974291364,18.8940475043487,-20.77898321509533,19.748916172109862,-42.52503268214003,41.62888388792263,0.4433226265775703,0.6575956487538447,MES,discovery,recent_return_magnitude,prior20_|ret|_bottom_third,0.9,20
4415,False,0.5676942690245977,2.607950523452196,0.5749546171777185,0.5343148357870895,0.4656851642129105,27.760224900143836,-30.63229588603877,29.097705748841452,-63.33843676469597,61.18164740058221,-0.010120959687721453,0.9919252377698207,MES,discovery,range_expansion,range_expanding,0.9,20
5204,False,2.362724323236758,2.2826880934978533,0.5749546171777185,0.5355495772482706,0.46445042275172943,24.56511199748278,-23.238456664816056,23.948946367379882,-49.2408044056632,54.34004583420104,3.31758315859204,0.0009142326442968935,MES,discovery,range_expansion,range_contracting,0.9,20
5636,False,1.9266518253458287,3.0011126492757167,0.5749546171777185,0.5459545777146912,0.45404542228530875,25.61798746000806,-26.560350811565343,26.045863225912083,-56.35065376708215,52.90783815086242,2.265164493029333,0.023540391335661853,MES,discovery,vwap_location,above_vwap,0.9,20
8658,False,1.455925310950645,2.2265864059412,0.5749546171777185,0.5303765303765304,0.4696234696234696,26.074063222909235,-26.346949576337565,26.202217059019144,-54.067025572575034,59.12623782637981,2.077593934441418,0.03777618098768669,MES,discovery,vwap_location,below_vwap,0.9,20
1612,False,5.881638758378057,0.6355028935034479,0.5749546171777185,0.5049627791563276,0.49503722084367247,33.82430297820637,-22.621279380644808,28.278389311423414,-48.70737840708039,73.49569883971206,4.856871661072508,1.3083453276788935e-06,MES,discovery,day_of_week,dow_0,0.9,20
3318,False,3.2913490770529554,2.6908438905093313,0.5749546171777185,0.5458107293550332,0.45418927064496684,22.29491849317394,-19.54572073886948,21.04626237028762,-43.5052224459756,51.43213393644874,5.116723129032084,3.285541109750946e-07,MES,discovery,day_of_week,dow_1,0.9,20
3449,False,3.40467231884468,4.483098717833478,0.5749546171777185,0.5671209046100318,0.4328790953899681,28.498030539561697,-29.470484198049146,28.918985399556412,-54.392738046574514,65.52029057250667,3.2587277197277476,0.0011299901406839291,MES,discovery,day_of_week,dow_2,0.9,20
3202,False,-0.2972608413432723,1.4098076243140856,0.5749546171777185,0.5181136789506559,0.48188632104934415,22.61421437695531,-24.931180081237855,23.73072845618953,-56.070589343213456,48.16117946610797,-1.4964499288900728,0.1346350332789343,MES,discovery,day_of_week,dow_3,0.9,20
2537,False,-3.6001150298135696,2.0620257340819848,0.5749546171777185,0.5246353961371699,0.47536460386283014,26.460120359317777,-36.776046458448576,31.363946482909324,-74.71673772617149,56.38258149267321,-4.374247372247003,1.2677433433656246e-05,MES,discovery,day_of_week,dow_4,0.9,20
5278,False,1.6486593325356074,3.022574943327694,0.5749546171777185,0.5469874952633573,0.4530125047366427,25.078403140638628,-26.641457929695015,25.786486505669664,-57.36004300341452,50.22207108359333,1.740094872513965,0.08190065689552924,MES,discovery,trend_state,above_sma200,0.9,20
9016,False,1.6373543780764017,2.236219609199619,0.5749546171777185,0.5303904170363798,0.4696095829636202,26.381701352367273,-26.309614736486413,26.3478487867462,-53.690616255534785,60.41424334256473,2.543340913658156,0.010996364005338537,MES,discovery,trend_state,below_sma200,0.9,20
11997,False,1.6118813044525493,3.181556760196713,0.6717902919769171,0.5395515545553055,0.4604484454446945,32.71564978163687,-34.835383965788964,33.691678091485684,-74.17596212733412,71.22294356403853,2.0175557312957237,0.043659776000374614,MNQ,discovery,rth,RTH,0.9,20
1853,False,5.2389148282615166,6.873851604118908,0.6717902919769171,0.6044252563410686,0.39557474365893147,35.07928456211228,-40.35619308703569,37.16669629917049,-89.00966958347367,87.01599503895348,3.080585684897819,0.002096324746764071,MNQ,discovery,rth,overnight,0.9,20
5894,False,1.2268914849030037,4.191513634221877,0.6717902919769171,0.5587037665422464,0.44129623345775365,30.268757420599442,-35.541606987318595,32.59564607398195,-75.73115325282254,63.37854738496559,0.8423706943200927,0.3996146765381862,MNQ,discovery,recent_return_direction,prior20_up,0.9,20
7956,False,2.7418490163734948,3.324216972970806,0.6717902919769171,0.5404725992961287,0.45952740070387127,35.20515850234122,-35.439833365918965,35.312998032411635,-73.45329693113884,78.58728602002263,3.3814024205321602,0.0007246417722590976,MNQ,discovery,recent_return_direction,prior20_down,0.9,20
9793,False,1.9673116071745742,3.8700656662760125,0.6717902919769171,0.5474318390687225,0.45256816093127744,35.59825709181121,-38.713080708515186,37.00792708764824,-80.01405045698573,80.22832360125373,2.2559505407020612,0.024095698920209303,MNQ,discovery,recent_return_magnitude,prior20_|ret|_top_third,0.9,20
1488,False,-0.1899483742903427,1.6959848835129687,0.6717902919769171,0.5228494623655914,0.4771505376344086,25.4301717100831,-28.263826438575613,26.782251587253587,-61.6589685524454,53.31764103538878,-0.8036993816376149,0.4216990662189161,MNQ,discovery,recent_return_magnitude,prior20_|ret|_bottom_third,0.9,20
4231,False,1.29249832657196,4.420140686762775,0.6717902919769171,0.5544788466083668,0.4455211533916332,36.190394844965915,-42.1401092236414,38.841118457304205,-87.46345799516497,77.56773887770963,0.6680641362544208,0.5041291023984578,MNQ,discovery,range_expansion,range_expanding,0.9,20
4952,False,2.5017830486025416,3.4113884248243576,0.6717902919769171,0.5430129240710824,0.45698707592891763,30.480501845046703,-30.743809016637556,30.60082981946312,-65.13314461507247,67.14662597378806,2.642664064094692,0.008251556760165894,MNQ,discovery,range_expansion,range_contracting,0.9,20
5639,False,2.962123449640983,4.568538705085334,0.6717902919769171,0.5633977655612697,0.43660223443873025,31.907948112675886,-34.38998254323549,32.99160989101207,-73.87212947504118,64.85020217055184,3.0974139171622923,0.0019617670607014986,MNQ,discovery,vwap_location,above_vwap,0.9,20
8211,False,1.5031098591840604,3.14216553393587,0.6717902919769171,0.5378151260504201,0.46218487394957986,33.896206655826525,-36.19067550418171,34.95667545128481,-74.9712459281443,76.81499237314982,1.4747806249889512,0.1403098763368285,MNQ,discovery,vwap_location,below_vwap,0.9,20
1852,False,5.917128913855907,2.2809733749973304,0.6717902919769171,0.5237580993520519,0.4762419006479482,41.459475200685816,-33.171392512703065,37.51234294863355,-74.71519527810894,89.8800354997448,3.9446087705911097,8.291129533388774e-05,MNQ,discovery,day_of_week,dow_0,0.9,20
3130,False,3.1987639474346543,2.134821551736943,0.6717902919769171,0.5306709265175719,0.46932907348242814,29.051103772367295,-26.032506610232545,27.634388363045904,-57.625433145482624,67.10151595136858,3.556159075773472,0.0003818936962648153,MNQ,discovery,day_of_week,dow_1,0.9,20
3296,False,7.27490578457724,7.434888483633939,0.6717902919769171,0.5995145631067961,0.40048543689320387,37.58769026352728,-38.10241401118433,37.793829628487025,-70.65642539023086,88.10494418517057,5.896976858712691,4.07645741402325e-09,MNQ,discovery,day_of_week,dow_2,0.9,20
3098,False,-2.3211885185176633,2.811456804066026,0.6717902919769171,0.5313105229180116,0.4686894770819884,28.216576126021085,-36.93906772300166,32.304716151461946,-83.64949002783716,60.8215764767077,-3.750913011893953,0.0001794182421927343,MNQ,discovery,day_of_week,dow_3,0.9,20
2354,False,-3.9594367531492276,3.2727868769799606,0.6717902919769171,0.5420560747663551,0.45794392523364486,31.53180489323148,-45.96947788559986,38.14344953459644,-93.67954929612182,67.71777736477335,-3.9303988171022795,8.725220357728326e-05,MNQ,discovery,day_of_week,dow_4,0.9,20
5259,False,2.2864906884830902,4.604369546699072,0.6717902919769171,0.5615135957406351,0.4384864042593649,31.85823265598632,-35.5822664797897,33.491170856726114,-75.52931147555196,64.08407436345341,2.0750939177589927,0.03802634696537397,MNQ,discovery,trend_state,above_sma200,0.9,20
