n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
38152,False,0.3258223424153392,0.5077947120046833,0.1436489664341841,0.5177448102327532,0.4822551897672468,11.656047215216539,-11.838204610812666,11.743893564597256,-26.551584131433824,25.197448817424217,1.736062675838204,0.0825608261843683,MES,discovery,0.7,5
32049,False,0.22227648415169152,0.4859558752068338,0.1436489664341841,0.5147118474835408,0.4852881525164592,12.067141866646525,-12.34075954424378,12.199925283903541,-27.576973494756185,26.377949116488576,0.6718389274687446,0.5016910866666586,MES,discovery,0.75,5
25933,False,0.28191505278999435,0.5137426149492974,0.1436489664341841,0.516176300466587,0.48382369953341303,12.518141202452558,-12.772530092613932,12.641220576410635,-28.425681599205,27.46008049209834,1.0722656137632158,0.28361072540345716,MES,discovery,0.8,5
20136,False,0.24263801875108845,0.5217845086824546,0.1436489664341841,0.5153953118792213,0.4846046881207787,13.000148646697872,-13.325454346163006,13.157793313731087,-29.431630892890748,28.028368452657215,0.6553580012806964,0.5122447725156001,MES,discovery,0.85,5
14294,False,0.27288372565178587,0.5205383597328694,0.1436489664341841,0.5136420875891983,0.48635791241080173,13.756624206003275,-13.967280630898939,13.859078625051453,-30.397766779160897,29.0363486290468,0.6794643536018248,0.4968546895130961,MES,discovery,0.9,5
7853,False,0.23533772421352517,0.8246742536699436,0.1436489664341841,0.5168725327900165,0.48312746720998345,14.50426090999139,-15.030228752083879,14.75837042137543,-32.37076217240875,30.398998930184714,0.32745334149146504,0.7433337570443054,MES,discovery,0.95,5
4661,False,-0.02076017808626681,0.820613819136895,0.1436489664341841,0.5172709718944433,0.48272902810555673,15.331972692097853,-16.47206637809245,15.882329009087305,-35.04161191414834,33.08823529411864,-0.4194232629015629,0.6749261592429652,MES,discovery,0.975,5
38147,False,0.5872948857672556,1.0438413361169019,0.28694543347612245,0.525572128869898,0.474427871130102,16.26011831453826,-16.775089738137588,16.50443511072933,-36.91129465757625,35.32133161826499,2.085374292569964,0.03704196906158599,MES,discovery,0.7,10
32044,False,0.3801446137925127,0.9644893365823304,0.28694543347612245,0.5218137560853826,0.4781862439146174,16.731661027909794,-17.463208904477742,17.081477159249534,-38.353876460295474,36.26622963532876,0.5890470668828537,0.555833853058541,MES,discovery,0.75,10
25931,False,0.43539030533884343,1.1582564379764015,0.28694543347612245,0.5237360687979639,0.4762639312020362,17.249368562326215,-18.054539954430023,17.632842654820994,-39.877531049870015,37.40891979650329,0.849086727648559,0.39584087378562016,MES,discovery,0.8,10
20136,False,0.5516256750986549,1.1792221433792882,0.28694543347612245,0.5235399284862932,0.4764600715137068,17.873421738088833,-18.481767497305185,18.163274202030113,-40.318928237853825,38.84448335110091,1.3027369711001098,0.19267947435059787,MES,discovery,0.85,10
14294,False,0.7129091456332434,1.2543379537199861,0.28694543347612245,0.5245557576605568,0.4754442423394431,18.629037976188986,-19.053885140933406,18.83102911454096,-41.06214392131019,40.143694863396505,1.7384651209819442,0.08215042440096179,MES,discovery,0.9,10
7853,False,0.4123429561885424,1.2304158805687138,0.28694543347612245,0.5213294282439832,0.4786705717560168,19.148684710673678,-19.993771207914182,19.55320274749108,-42.944123089531324,41.50149109105381,0.36708861020188094,0.7135628153226914,MES,discovery,0.95,10
4661,False,0.15271298019948423,1.3932751253942222,0.28694543347612245,0.5230637202317099,0.47693627976829006,20.30536163128612,-21.94902224757794,21.089283010821994,-45.848616205401704,43.7138563817685,-0.27977130475672585,0.7796653853747515,MES,discovery,0.975,10
38146,False,1.1798604212506818,2.081869757096788,0.5749546171777185,0.5369894615424946,0.4630105384575054,22.483927259815715,-23.528128771432257,22.967403563967434,-51.83525174051906,49.290975460649086,2.998293365953738,0.002716711151133467,MES,discovery,0.7,20
32044,False,1.0568631285613574,2.0160870444785317,0.5749546171777185,0.5333603794782175,0.46663962052178254,23.135854169798513,-24.179011671531214,23.622632790551513,-52.78148631907503,50.70895880430726,2.1627519339900836,0.030567636873799715,MES,discovery,0.75,20
25931,False,1.1752495722355307,2.1749532385051396,0.5749546171777185,0.535652308048282,0.46434769195171804,23.805092511487473,-24.929602053560455,24.327255921926746,-53.942049426051184,52.538730822454525,2.4104691971304466,0.01593892978113231,MES,discovery,0.8,20
20136,False,1.528468641852863,2.3914112587319902,0.5749546171777185,0.5382399682161303,0.4617600317838697,24.805173677585223,-25.603487604357863,25.173803141785264,-54.34894745513452,54.936432986116834,3.252494868814535,0.001145849723203912,MES,discovery,0.85,20
14294,False,1.6415286854526214,2.5058470462102633,0.5749546171777185,0.5365188190849307,0.46348118091506924,25.89107389934072,-26.429378823273094,26.140568101177298,-54.51268318682806,57.469674658236315,3.062115393674282,0.0022018699049491997,MES,discovery,0.9,20
7853,False,1.778811421225212,2.822998023901402,0.5749546171777185,0.5399210492805298,0.46007895071947025,26.269520112755345,-26.96201472106312,26.588122305524482,-55.56768739556972,58.372890033802506,2.6318566876154943,0.008508575899191814,MES,discovery,0.95,20
4661,False,0.6040509217592194,2.095645249171607,0.5749546171777185,0.5254237288135594,0.4745762711864407,27.668581365476218,-29.360250640927454,28.471407462300537,-60.29607451763175,61.63186459387404,0.04603345476316942,0.9632855576107257,MES,discovery,0.975,20
38146,False,2.506221509711122,4.137617148056716,1.1492413830124588,0.560950034079589,0.43904996592041107,29.91595635578705,-32.5136916880637,31.056491964893365,-67.46798799451642,65.89316740075957,4.918861121287095,8.741096534371641e-07,MES,discovery,0.7,40
32044,False,2.3011635156765293,4.100797689611246,1.1492413830124588,0.558482087130196,0.441517912869804,30.71906420402127,-33.645030343428466,32.010930667020055,-69.69280450368474,67.19582502365839,3.7224633640447915,0.00019762598354643393,MES,discovery,0.75,40
25931,False,2.579762156459517,4.433999911319653,1.1492413830124588,0.5623770776290926,0.4376229223709074,31.531044107126323,-34.624727153249154,32.884910722659924,-71.67196525639797,69.38325437155002,4.084549767650789,4.429493981824975e-05,MES,discovery,0.8,40
20136,False,3.5769821571850406,4.808906678627212,1.1492413830124588,0.5669447755264203,0.43305522447357964,32.896488642248165,-34.80736257142513,33.72400258058861,-71.81571388405195,72.05514809310532,5.952437574518939,2.685563276696809e-09,MES,discovery,0.85,40
14294,False,4.294084265875228,5.005005431630849,1.1492413830124588,0.56513222331048,0.4348677766895201,34.85468293140844,-35.42092796388302,35.10092464974214,-74.79908983240718,76.13355985329439,6.378528924104834,1.842984944796357e-10,MES,discovery,0.9,40
7853,False,5.688999899250956,5.213517228304099,1.1492413830124588,0.5613141474595696,0.4386858525404304,37.54305410184614,-35.06939514430189,36.45789491316157,-75.8573796438029,80.9643371857897,6.6745970620003146,2.647618773294745e-11,MES,discovery,0.95,40
4661,False,4.711187467865231,4.481089801040561,1.1492413830124588,0.5500965458056211,0.4499034541943789,38.006863326172166,-35.999405236330745,37.10370099740206,-77.56280432628104,85.68164508758525,4.350983595459386,1.384271415055961e-05,MES,discovery,0.975,40
38146,False,3.6890972250873912,4.97321247174054,1.7240846340635767,0.5626015833901327,0.43739841660986734,36.013290463800715,-37.8877389209136,36.83317125095869,-77.24299263941248,77.72413928360145,5.85790952474765,4.725689913625082e-09,MES,discovery,0.7,60
32044,False,3.623884579504503,5.012845418566059,1.7240846340635767,0.5611346898015229,0.4388653101984771,36.976570801789485,-39.02097433842952,37.87378859406788,-78.0016463326203,79.36736824346109,5.05822565643086,4.2550845630548234e-07,MES,discovery,0.75,60
