n,mean_fwd_ret_bps,mean_abs_fwd_ret_bps,mean_up_excursion_bps,mean_down_excursion_bps,round_trip_cost_usd_per_contract,tick_value_usd,symbol
14294,1.6415286854526214,26.140568101177298,25.894300376146663,-26.79692244528188,0.9325,1.25,MES
13850,2.097144345580204,34.156602910174485,33.7057602913605,-35.48927984861104,0.745,0.5,MNQ
13831,2.117126606187858,34.176584539733796,33.71992712474913,-35.374072991536416,3.29,5.0,NQ
