date,symbol,instrument_id,open,high,low,close,volume
2010-06-06,ZNM0,713381,121.765625,121.765625,121.703125,121.703125,42
2010-06-06,ZNM0-ZNU0,701920,0.8046875,0.8125,0.8046875,0.8125,15
2010-06-06,ZNU0,816003,120.875,121.0,120.8125,120.9375,10213
2010-06-06,ZNZ0,44395,119.71875,119.71875,119.71875,119.71875,3
2010-06-07,ZNM0,713381,121.71875,122.03125,121.25,121.8125,7693
2010-06-07,ZNM0-ZNU0,701920,0.8046875,0.8203125,0.78125,0.796875,28994
2010-06-07,ZNM0-ZNZ0,602644,2.0625,2.0625,2.0625,2.0625,19
2010-06-07,ZNU0,816003,120.921875,121.234375,120.421875,121.03125,892437
2010-06-07,ZNU0-ZNZ0,602639,1.2265625,1.234375,1.2265625,1.234375,11
2010-06-07,ZNZ0,44395,119.3125,119.90625,119.3125,119.90625,4
2010-06-08,ZNM0,713381,121.78125,121.96875,121.53125,121.625,12687
2010-06-08,ZNM0-ZNU0,701920,0.796875,0.8046875,0.75,0.7890625,30314
2010-06-08,ZNU0,816003,121.015625,121.203125,120.71875,120.8125,1021588
2010-06-09,ZNM0,713381,121.609375,121.8125,121.265625,121.640625,8483
2010-06-09,ZNM0-ZNU0,701920,0.78125,0.8046875,0.7421875,0.7734375,15911
2010-06-09,ZNU0,816003,120.8125,121.015625,120.453125,120.859375,995579
2010-06-09,ZNU0-ZNZ0,602639,1.140625,1.140625,1.1328125,1.1328125,2
2010-06-10,ZNM0,713381,121.703125,121.703125,120.59375,120.59375,7416
2010-06-10,ZNM0-ZNU0,701920,0.7578125,0.796875,0.7421875,0.796875,12574
2010-06-10,ZNU0,816003,120.859375,120.9375,119.796875,119.890625,1119724
2010-06-10,ZNU0-ZNZ0,602639,1.125,1.125,1.125,1.125,2
2010-06-11,ZNM0,713381,120.671875,121.390625,120.640625,121.265625,4360
2010-06-11,ZNM0-ZNU0,701920,0.78125,0.7890625,0.7265625,0.7421875,12753
2010-06-11,ZNU0,816003,119.90625,120.671875,119.890625,120.5,932600
2010-06-11,ZNU0-ZNZ0,602639,1.1171875,1.1171875,1.09375,1.09375,26
2010-06-13,ZNU0,816003,120.40625,120.4375,120.28125,120.328125,5723
2010-06-14,ZNM0,713381,121.0,121.109375,120.515625,121.09375,2285
2010-06-14,ZNM0-ZNU0,701920,0.7265625,0.7734375,0.6875,0.734375,17007
2010-06-14,ZNU0,816003,120.328125,120.375,119.734375,120.296875,808350
2010-06-14,ZNU0-ZNZ0,602639,1.1171875,1.1171875,1.1171875,1.1171875,2
2010-06-14,ZNZ0,44395,119.140625,119.140625,119.140625,119.140625,2
2010-06-15,ZNM0,713381,121.0625,121.234375,120.65625,120.703125,2611
2010-06-15,ZNM0-ZNU0,701920,0.765625,0.8359375,0.75,0.828125,9591
2010-06-15,ZNU0,816003,120.28125,120.578125,119.796875,119.859375,928302
2010-06-15,ZNZ0,44395,119.21875,119.21875,119.21875,119.21875,1
