symbol,scan,lag_bars,n,rho,t_stat,p_value,sigma,direction,horizon_bars,mean_fwd_ret_bps,baseline_mean_bps,insufficient,overlapping_samples_caveat,regime,utc_hour,vs_overall_mean_bps,bar_type,mean_fwd_range,baseline_mean_range
MES,autocorrelation,1.0,154261,-0.002825289428727234,-1.1096519805812355,0.2671490227009419,,,,,,,,,,,,,
MES,autocorrelation,2.0,154260,-0.0275472101392042,-10.819322402625483,0.0,,,,,,,,,,,,,
MES,autocorrelation,3.0,154259,0.00509680795329668,2.001793628150882,0.04530693153893228,,,,,,,,,,,,,
MES,autocorrelation,5.0,154257,-0.013780385446749963,-5.412271602871682,6.223020299067628e-08,,,,,,,,,,,,,
MES,autocorrelation,10.0,154252,0.016171151862959504,6.351146552279009,2.137159338388983e-10,,,,,,,,,,,,,
MES,autocorrelation,20.0,154242,-0.012909364445877657,-5.069929987195508,3.9796207040865283e-07,,,,,,,,,,,,,
MES,autocorrelation,50.0,154212,0.00593211434078835,2.3295088990970125,0.019832122115084783,,,,,,,,,,,,,
MES,sigma_move,,5579,,0.5441465039203965,0.5863624106043064,2.0,up,1.0,0.08965778872468623,0.023537406174385173,False,,,,,,,
MES,sigma_move,,5579,,1.6366565134007507,0.10175867309660583,2.0,up,5.0,0.5768090583778296,0.11699590160480088,False,,,,,,,
MES,sigma_move,,5579,,-0.8421647899935147,0.3997318250701494,2.0,up,20.0,0.08046677278293035,0.47053099531586895,False,,,,,,,
MES,sigma_move,,6178,,-0.27418711970578385,0.7839499944072054,2.0,down,1.0,-0.0077370437374643525,0.023537406174385173,False,,,,,,,
MES,sigma_move,,6178,,-0.29403831348331105,0.7687385063422632,2.0,down,5.0,0.04114908182359763,0.11699590160480088,False,,,,,,,
MES,sigma_move,,6178,,-1.2705413364117815,0.2039397189594652,2.0,down,20.0,-0.10474002870083744,0.47053099531586895,False,,,,,,,
MES,sigma_move,,1635,,0.9387713191386765,0.34798691012903576,3.0,up,1.0,0.2664603365258581,0.023537406174385173,False,,,,,,,
MES,sigma_move,,1635,,0.8897565016536481,0.37372762249248215,3.0,up,5.0,0.6876780666866567,0.11699590160480088,False,,,,,,,
MES,sigma_move,,1635,,-0.714265208409864,0.47516522038355935,3.0,up,20.0,-0.20318334180201422,0.47053099531586895,False,,,,,,,
MES,sigma_move,,2221,,-0.027677397000185795,0.9779219390548083,3.0,down,1.0,0.017123882600113185,0.023537406174385173,False,,,,,,,
MES,sigma_move,,2221,,-0.5349434617037537,0.5927425284282709,3.0,down,5.0,-0.11763928830054186,0.11699590160480088,False,,,,,,,
MES,sigma_move,,2221,,-1.8015822376205917,0.07174678746034888,3.0,down,20.0,-0.9375078686762374,0.47053099531586895,False,,,,,,,
MES,vol_persistence,,153744,0.7850968915589542,307.8350795644088,0.0,,,20.0,,,,True,,,,,,
MES,vol_persistence,,153664,-0.3488671456478335,-136.75458613662263,0.0,,,100.0,,,,True,,,,,,
MES,vol_regime_directional,,17895,,0.42389756842257686,0.6716456129741223,,,1.0,0.05818967630573525,0.023537406174385173,False,,high_vol,,,,,
MES,vol_regime_directional,,17895,,0.7648400683371559,0.4443768713779802,,,5.0,0.2439712700043502,0.11699590160480088,False,,high_vol,,,,,
MES,vol_regime_directional,,17895,,3.805906582200408,0.00014175632964825194,,,20.0,1.6154337964823071,0.47053099531586895,False,,high_vol,,,,,
MES,vol_regime_directional,,20272,,-1.150712002679627,0.2498643105670521,,,1.0,0.004718104356293721,0.023537406174385173,False,,low_vol,,,,,
MES,vol_regime_directional,,20272,,-3.077625012313496,0.0020893567370342194,,,5.0,0.004012791244077445,0.11699590160480088,False,,low_vol,,,,,
MES,vol_regime_directional,,20272,,-1.9899584496849083,0.04660892330198068,,,20.0,0.3003564418447304,0.47053099531586895,False,,low_vol,,,,,
MES,time_of_day,,6792,,-0.6855004013535203,0.4930516062396487,,,,-0.007356301960221073,,False,,,0.0,0.023537406174385173,,,
MES,time_of_day,,6792,,1.5534881429193392,0.12035315854631472,,,,0.08983246211314866,,False,,,1.0,0.023537406174385173,,,
MES,time_of_day,,6789,,0.7658139472007662,0.4438136416847051,,,,0.04990240921595997,,False,,,2.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-1.9179945487317032,0.05515366724870163,,,,-0.0342684473772644,,False,,,3.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-0.9971627341228293,0.31872111773827005,,,,-0.006699750248865702,,False,,,4.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-1.150377038469272,0.25002919107139615,,,,-0.019602970441261025,,False,,,5.0,0.023537406174385173,,,
MES,time_of_day,,6780,,1.179576915490951,0.23820992268656094,,,,0.07988068208858691,,False,,,6.0,0.023537406174385173,,,
MES,time_of_day,,6780,,0.025789676384195465,0.9794258552596197,,,,0.02497190560098963,,False,,,7.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-0.08772717113130352,0.9300961146236663,,,,0.018971017039689436,,False,,,8.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-1.0405033954894742,0.29814319499573055,,,,-0.024259216790318335,,False,,,9.0,0.023537406174385173,,,
MES,time_of_day,,6780,,0.15742172593508771,0.8749171804660483,,,,0.031668270483421405,,False,,,10.0,0.023537406174385173,,,
MES,time_of_day,,6780,,-0.9420387380821429,0.3462063760211728,,,,-0.027227048215604604,,False,,,11.0,0.023537406174385173,,,
MES,time_of_day,,6780,,0.5317532298773038,0.5949143440509785,,,,0.06299185332483355,,False,,,12.0,0.023537406174385173,,,
MES,time_of_day,,6750,,1.3042998031309536,0.19217586061860595,,,,0.16775580295535986,,False,,,13.0,0.023537406174385173,,,
MES,time_of_day,,6702,,-0.4085520695884954,0.6828814660280522,,,,-0.035391518884564335,,False,,,14.0,0.023537406174385173,,,
MES,time_of_day,,6684,,-0.7882837117924204,0.4305587326112584,,,,-0.05947929357406441,,False,,,15.0,0.023537406174385173,,,
MES,time_of_day,,6684,,0.8733857814363506,0.382484219100428,,,,0.10070843259030042,,False,,,16.0,0.023537406174385173,,,
MES,time_of_day,,6570,,0.8199339560878581,0.41228350694579174,,,,0.10944588020681746,,False,,,17.0,0.023537406174385173,,,
MES,time_of_day,,6432,,0.15109150777721558,0.8799082703211978,,,,0.03757141778271403,,False,,,18.0,0.023537406174385173,,,
MES,time_of_day,,6420,,0.7139964177330314,0.47525535506363265,,,,0.09970592385541095,,False,,,19.0,0.023537406174385173,,,
MES,time_of_day,,6420,,-1.2131747011479295,0.22510767543753316,,,,-0.12027645253249139,,False,,,20.0,0.023537406174385173,,,
MES,time_of_day,,2520,,-0.442494425260548,0.6581694540223065,,,,-0.03756933349953803,,False,,,21.0,0.023537406174385173,,,
MES,time_of_day,,4104,,0.16409118502727482,0.8696674435248613,,,,0.03342046470001272,,False,,,22.0,0.023537406174385173,,,
MES,time_of_day,,6803,,-0.6288778252269522,0.5294501620574054,,,,-0.004627459680930625,,False,,,23.0,0.023537406174385173,,,
MES,range_persistence,,35092,,-45.96555440720347,0.0,,,1.0,,,False,,,,,narrow,2.943712242106463,3.84044028989641
MES,range_persistence,,14840,,31.730671149716834,1.7640534754439131e-214,,,1.0,,,False,,,,,wide,5.375707547169811,3.84044028989641
MES,range_persistence,,35092,,-35.19626385003119,1.1110115804341566e-268,,,5.0,,,False,,,,,narrow,7.11330217713439,8.779856600152995
MES,range_persistence,,14840,,24.311964826008648,2.540279479140612e-128,,,5.0,,,False,,,,,wide,11.251802560646901,8.779856600152995
MNQ,autocorrelation,1.0,154261,-0.0021436362827282583,-0.8419279888952073,0.3998282625542806,,,,,,,,,,,,,
MNQ,autocorrelation,2.0,154260,-0.015307386554251045,-6.012062544088932,1.8317762862096743e-09,,,,,,,,,,,,,
MNQ,autocorrelation,3.0,154259,0.006035980367760893,2.370657703909026,0.017756467021561972,,,,,,,,,,,,,
MNQ,autocorrelation,5.0,154257,-0.011639200374141914,-4.571317247149911,4.846678705705543e-06,,,,,,,,,,,,,
MNQ,autocorrelation,10.0,154252,0.009611365482188173,3.77482020218449,0.00016012311191415662,,,,,,,,,,,,,
MNQ,autocorrelation,20.0,154242,-0.01042620003128609,-4.094710038804109,4.226970646636907e-05,,,,,,,,,,,,,
MNQ,autocorrelation,50.0,154212,0.0036953913113229498,1.4511599829056174,0.146735317029846,,,,,,,,,,,,,
MNQ,sigma_move,,5341,,1.571687156215707,0.11608236702590975,2.0,up,1.0,0.30750287816171595,0.027445927317516865,False,,,,,,,
MNQ,sigma_move,,5341,,2.503602416056978,0.012323219295280527,2.0,up,5.0,1.0687603058354198,0.1365653510592424,False,,,,,,,
MNQ,sigma_move,,5341,,0.10497582749083878,0.9163989322078864,2.0,up,20.0,0.6143952967936575,0.5499961992954214,False,,,,,,,
MNQ,sigma_move,,6009,,-0.3955640233805445,0.6924407266947513,2.0,down,1.0,-0.03355583487247312,0.027445927317516865,False,,,,,,,
MNQ,sigma_move,,6009,,-0.583588150045834,0.5595193415181833,2.0,down,5.0,-0.06110901330921366,0.1365653510592424,False,,,,,,,
MNQ,sigma_move,,6009,,-1.7334026347506826,0.08307543455033622,2.0,down,20.0,-0.49854099623340253,0.5499961992954214,False,,,,,,,
MNQ,sigma_move,,1681,,1.8011133340624794,0.07186427897028065,3.0,up,1.0,0.6601283964490494,0.027445927317516865,False,,,,,,,
MNQ,sigma_move,,1681,,2.4671373069113525,0.013718911135060794,3.0,up,5.0,2.249506378969876,0.1365653510592424,False,,,,,,,
MNQ,sigma_move,,1681,,0.04873652781944869,0.961135058514498,3.0,up,20.0,0.6095563309626071,0.5499961992954214,False,,,,,,,
MNQ,sigma_move,,2259,,-0.7662720673692173,0.4435945329299462,3.0,down,1.0,-0.20452879515721534,0.027445927317516865,False,,,,,,,
MNQ,sigma_move,,2259,,-1.2004553003648604,0.23008848585942474,3.0,down,5.0,-0.5980028486716812,0.1365653510592424,False,,,,,,,
MNQ,sigma_move,,2259,,-2.4129867794267224,0.015901587532378823,3.0,down,20.0,-2.033676402982727,0.5499961992954214,False,,,,,,,
MNQ,vol_persistence,,153744,0.7740040308407834,303.4855888219421,0.0,,,20.0,,,,True,,,,,,
MNQ,vol_persistence,,153664,-0.34691978115403893,-135.9912267067414,0.0,,,100.0,,,,True,,,,,,
MNQ,vol_regime_directional,,17315,,0.9337870678567064,0.3504267636469467,,,1.0,0.12699727334237745,0.027445927317516865,False,,high_vol,,,,,
MNQ,vol_regime_directional,,17315,,1.2038079117843914,0.22868028872299148,,,5.0,0.4001016231571244,0.1365653510592424,False,,high_vol,,,,,
MNQ,vol_regime_directional,,17315,,3.3595078556059303,0.0007824996155961448,,,20.0,1.8690374928075353,0.5499961992954214,False,,high_vol,,,,,
MNQ,vol_regime_directional,,20406,,-1.2280963443124917,0.21942496863004635,,,1.0,0.0010545823837533415,0.027445927317516865,False,,low_vol,,,,,
MNQ,vol_regime_directional,,20406,,-1.7901168852129075,0.07344994431173116,,,5.0,0.0449948271426263,0.1365653510592424,False,,low_vol,,,,,
MNQ,vol_regime_directional,,20406,,-0.33228371772883036,0.7396784466425067,,,20.0,0.5104802822675318,0.5499961992954214,False,,low_vol,,,,,
MNQ,time_of_day,,6792,,-0.38325052907167795,0.7015460122360827,,,,0.00482120742483251,,False,,,0.0,0.027445927317516865,,,
