symbol,split,tail,horizon_bars,insufficient,ks_stat,ks_p_value,skew_diff_obs,skew_diff_perm_p,skew_diff_boot_ci_lo,skew_diff_boot_ci_hi,event_n,event_insufficient,event_mean_bps,event_median_bps,event_std_bps,event_skew,event_kurtosis,event_p5_bps,event_p10_bps,event_p25_bps,event_p75_bps,event_p90_bps,event_p95_bps,event_prob_large_positive,event_prob_large_negative,event_upside_tail_mean_bps,event_downside_tail_mean_bps,event_mean_abs_bps,baseline_n,baseline_insufficient,baseline_mean_bps,baseline_median_bps,baseline_std_bps,baseline_skew,baseline_kurtosis,baseline_p5_bps,baseline_p10_bps,baseline_p25_bps,baseline_p75_bps,baseline_p90_bps,baseline_p95_bps,baseline_prob_large_positive,baseline_prob_large_negative,baseline_upside_tail_mean_bps,baseline_downside_tail_mean_bps,baseline_mean_abs_bps
MES,discovery,top,5,False,0.02150002452344546,0.03248027296526035,-2.109521560617732,0.7886056971514243,-8.555451891760164,3.444478259710477,5415,False,0.2588994310162119,0.0,10.981119798320561,0.7715435725867894,20.716959771266918,-14.370708719785963,-9.349662116922675,-3.6044238671822937,3.82228555724784,9.804552406824653,15.55027421390465,0.09566020313942751,0.09270544783010157,20.465326562082282,-19.067333141848763,6.502372490642333,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,-16.677089847821904,-9.925110529640513,-3.5962598897143483,4.190456235921847,10.189832811262622,16.291067064893028,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,7.191591355838038
MES,discovery,top,10,False,0.02373433672047054,0.06306178141494323,-2.267123064963585,0.8530734632683659,-8.194602138791833,2.870309040791973,4058,False,0.6191170097507075,0.0,16.392373777264588,0.37632061259057037,20.93695549534523,-19.897258397618135,-12.607605114186013,-5.204963267043949,5.953725853700131,14.589838097434308,23.637056884943192,0.09659931000492854,0.0823065549531789,30.3037959612212,-29.49626258334496,9.550004735162249,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,-23.83252696344878,-14.265657280892684,-5.157065089063662,6.2127926102217845,15.049697207538015,23.549903583492846,0.1,0.1,30.651695287479473,-31.98832708875478,10.340944208905597
MES,discovery,top,20,False,0.015314168495709662,0.7315340865036184,3.7669414806131463,0.5347326336831584,-5.261856336282726,10.768903121775754,2936,False,1.1235742797277484,0.8511034515146232,27.852216937581655,5.532941643380612,155.10930396143908,-31.803646044836764,-19.51590252714297,-7.017595456796089,8.719782274556053,20.856370466662,33.542621873147716,0.09196185286103542,0.09332425068119891,47.97883243358061,-42.51953572187235,14.340839296568552,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,-34.786960355677294,-20.82568643064808,-7.167160577160048,9.320000487175184,22.195768640640672,34.291604946466435,0.1,0.1,44.596711899446824,-46.273310233193456,15.013185921428663
MES,discovery,top,40,False,0.02701242571582928,0.3304547667681853,2.161274414122456,0.7331334332833583,-7.6444978358779325,10.255539033893653,2004,False,1.4234332321813288,0.9305027123684972,40.37413780729232,3.884751733339412,138.66405128941747,-47.233230647658935,-28.64950768975283,-10.91543192721478,13.598047065474518,32.81663822564451,47.320119574111736,0.10329341317365269,0.09181636726546906,63.198262600484206,-63.3088475981864,21.270600602384697,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,-51.297275666844165,-30.711584266501553,-9.842519685039353,14.24431455375963,32.16553398208477,49.33443840406903,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,21.59474417881309
MES,discovery,top,60,False,0.03158655277558186,0.33957128098073197,0.4057165175297206,0.9145427286356822,-7.192697137461659,7.158861658990711,1516,False,1.4351781921675686,1.430005186003891,48.63838215942178,2.3897794009909448,76.59703434038092,-59.52054188040734,-38.55514201077326,-13.750558450374983,17.542578697035683,40.71691558154789,58.929654346751015,0.10290237467018469,0.10356200527704486,76.9270379142271,-77.46012443117485,26.885672014318484,2056,False,1.7230378779876057,2.3391062773903126,49.82931915138768,1.9840628834612242,67.44658853512931,-63.37689827102727,-37.64802630826125,-13.400424122629317,18.747567463204273,39.91601066038575,61.56184179899271,0.10019455252918288,0.10019455252918288,80.6802259828525,-83.60737879666635,27.726860706439002
MES,discovery,top,100,False,0.018989761943998682,0.9850978903448284,1.7389678142904779,0.663168415792104,-6.6113926198527455,8.904720118319451,1013,False,4.66649455489638,2.898970865343742,61.12499501918553,4.692229311914816,86.6761378941301,-75.86312935252693,-47.38922207090513,-18.561274842682217,26.93326029398424,57.18636129763823,77.43525833058615,0.11154985192497532,0.09575518262586377,99.65313236342388,-94.19300635508192,35.61141145224034,1234,False,2.89400268985244,2.942212256938914,65.28150791756185,2.953261497624338,74.42253240395118,-83.15300564105866,-49.73612998458343,-19.362426334732785,26.042929902431176,54.5470348359225,85.50148116357244,0.10048622366288493,0.10048622366288493,105.807745077793,-105.64122805315773,36.854017595161295
MES,discovery,bottom,5,False,0.04558133857851632,1.1464911369232483e-06,-1.9584635755370563,0.7406296851574213,-8.542226605304535,3.8146915043838723,4010,False,0.37868329067216455,0.49629069533763115,15.511764484108415,0.9226015576674652,28.861456292443886,-21.412851678234368,-12.221154920952435,-4.197860702578882,5.369941885774443,13.154552437619758,20.470147773581242,0.13790523690773068,0.12693266832917705,22.62531328767969,-23.932994135774805,8.881456119884504,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,-16.677089847821904,-9.925110529640513,-3.5962598897143483,4.190456235921847,10.189832811262622,16.291067064893028,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,7.191591355838038
MES,discovery,bottom,10,False,0.035613648339235415,0.0037454366163452227,0.2297231367008985,0.9950024987506247,-7.332281890870913,6.964239830760795,3082,False,0.5634999760273871,0.8324491596378714,21.850508875245264,2.873166814255054,80.47102351240807,-29.780269613944476,-16.279660098702074,-5.541351349073187,7.223679539017369,17.564400410115425,27.993463389915572,0.12621674237508113,0.11713173264114211,31.750394616085554,-33.955083726611036,11.987706634166493,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,-23.83252696344878,-14.265657280892684,-5.157065089063662,6.2127926102217845,15.049697207538015,23.549903583492846,0.1,0.1,30.651695287479473,-31.98832708875478,10.340944208905597
MES,discovery,bottom,20,False,0.035005742744490226,0.030623872909455854,-2.766857415621987,0.5857071464267866,-7.292224534545789,1.844336518949136,2334,False,0.4165230915263579,1.4011715119655044,29.384338464807982,-1.0008572528545212,25.8245132037423,-42.13250069449376,-25.029908144931778,-7.989646585681576,10.840396032406051,23.66143838169851,40.565347770150524,0.11053984575835475,0.12082262210796915,46.408178683103564,-48.88366221676361,17.154471267744807,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,-34.786960355677294,-20.82568643064808,-7.167160577160048,9.320000487175184,22.195768640640672,34.291604946466435,0.1,0.1,44.596711899446824,-46.273310233193456,15.013185921428663
MES,discovery,bottom,40,False,0.03186004385546763,0.21013876153551436,0.9953632904814009,0.8715642178910544,-7.138932835140815,8.319350785410878,1700,False,0.7902626766034736,2.232985275312238,44.43167782043273,2.718840609698357,91.19953886820834,-52.28793096401446,-34.07290036277355,-11.938102170470922,14.634652725994957,34.20078634949664,51.0659271338547,0.11176470588235295,0.11294117647058824,63.96822446057817,-67.7551941055688,23.679771179129872,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,-51.297275666844165,-30.711584266501553,-9.842519685039353,14.24431455375963,32.16553398208477,49.33443840406903,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,21.59474417881309
